[2024-09-11 17:37:30,350] [140236661360448] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[11]:set_ait_quality(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7f8b3b8c90d0>,https://ait-hub.pj.aist.go.jp/ait-hub/api/0.0.1/qualityDimensions/機械学習品質マネジメントガイドライン第三版/A-2データ設計の十分性)
[2024-09-11 17:37:30,350] [140236661360448] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[11]:set_ait_quality()
[2024-09-11 17:37:30,350] [140236661360448] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[12]:format_ait_inventory_requirement(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7f8b3b8c90d0>)
[2024-09-11 17:37:30,351] [140236661360448] DEBUG	logging.py - wrapper:135 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[12]:format_ait_inventory_requirement() = {'format': ['csv']}
[2024-09-11 17:37:30,351] [140236661360448] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[13]:add_ait_inventories(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7f8b3b8c90d0>)
[2024-09-11 17:37:30,351] [140236661360448] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[13]:add_ait_inventories()
[2024-09-11 17:37:30,351] [140236661360448] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_parameters(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7f8b3b8c90d0>)
[2024-09-11 17:37:30,352] [140236661360448] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_parameters()
[2024-09-11 17:37:30,352] [140236661360448] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[21]:add_ait_measures(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7f8b3b8c90d0>)
[2024-09-11 17:37:30,352] [140236661360448] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[21]:add_ait_measures()
